Step      Time, msec          Direction      Init Position  Next Position  
8364      836496              RIGHT          (178,130)      (190,130)      
8365      836596              UP             (190,130)      (190,118)      
8366      836696              DOWN           (190,118)      (190,130)      
8367      836796              DOWN           (190,130)      (190,142)      
8368      836896              UP             (190,142)      (190,130)      
8369      836996              UP             (190,130)      (190,118)      
8370      837106              DOWN           (190,118)      (190,130)      
8371      837205              DOWN           (190,130)      (190,142)      
8372      837306              DOWN           (190,142)      (190,154)      
8373      837405              DOWN           (190,154)      (190,166)      
8374      837506              UP             (190,166)      (190,154)      
8375      837606              DOWN           (190,154)      (190,166)      
8376      837705              LEFT           (190,166)      (178,166)      
8377      837805              UP             (178,166)      (178,154)      
8378      837905              RIGHT          (178,154)      (190,154)      
8379      838005              RIGHT          (190,154)      (202,154)      
8380      838106              RIGHT          (202,154)      (214,154)      
8381      838227              LEFT           (214,154)      (202,154)      
8382      838328              RIGHT          (202,154)      (214,154)      
8383      838428              RIGHT          (214,154)      (226,154)      
8384      838527              RIGHT          (226,154)      (238,154)      
8385      838628              LEFT           (238,154)      (226,154)      
8386      838727              DOWN           (226,154)      (226,166)      
8387      838828              RIGHT          (226,166)      (238,166)      
8388      838928              RIGHT          (238,166)      (250,166)      
8389      839028              LEFT           (250,166)      (238,166)      
8390      839128              UP             (238,166)      (238,154)      
8391      839228              DOWN           (238,154)      (238,166)      
8392      839328              DOWN           (238,166)      (238,178)      
8393      839428              UP             (238,178)      (238,166)      
8394      839528              UP             (238,166)      (238,154)      
8395      839628              LEFT           (238,154)      (226,154)      
8396      839728              UP             (226,154)      (226,142)      
8397      839827              LEFT           (226,142)      (214,142)      
8398      839928              RIGHT          (214,142)      (226,142)      
8399      840028              DOWN           (226,142)      (226,154)      
8400      840128              RIGHT          (226,154)      (238,154)      
8401      840228              RIGHT          (238,154)      (250,154)      
8402      840328              RIGHT          (250,154)      (262,154)      
8403      840428              LEFT           (262,154)      (250,154)      
8404      840528              LEFT           (250,154)      (238,154)      
8405      840628              DOWN           (238,154)      (238,166)      
8406      840728              LEFT           (238,166)      (226,166)      
8407      840828              UP             (226,166)      (226,154)      
8408      840928              DOWN           (226,154)      (226,166)      
8409      841028              UP             (226,166)      (226,154)      
8410      841128              UP             (226,154)      (226,142)      
8411      841228              RIGHT          (226,142)      (238,142)      
8412      841328              UP             (238,142)      (238,130)      
8413      841428              DOWN           (238,130)      (238,142)      
8414      841528              UP             (238,142)      (238,130)      
8415      841628              RIGHT          (238,130)      (250,130)      
8416      841728              DOWN           (250,130)      (250,142)      
8417      841828              RIGHT          (250,142)      (262,142)      
8418      841928              DOWN           (262,142)      (262,154)      
8419      842028              LEFT           (262,154)      (250,154)      
8420      842128              RIGHT          (250,154)      (262,154)      
8421      842228              DOWN           (262,154)      (262,166)      
8422      842328              LEFT           (262,166)      (250,166)      
8423      842428              UP             (250,166)      (250,154)      
8424      842528              UP             (250,154)      (250,142)      
8425      842628              RIGHT          (250,142)      (262,142)      
8426      842728              LEFT           (262,142)      (250,142)      
8427      842828              UP             (250,142)      (250,130)      
8428      842928              RIGHT          (250,130)      (262,130)      
8429      843028              DOWN           (262,130)      (262,142)      
8430      843128              DOWN           (262,142)      (262,154)      
8431      843228              DOWN           (262,154)      (262,166)      
8432      843328              UP             (262,166)      (262,154)      
8433      843428              UP             (262,154)      (262,142)      
8434      843528              UP             (262,142)      (262,130)      
8435      843628              RIGHT          (262,130)      (274,130)      
8436      843728              LEFT           (274,130)      (262,130)      
8437      843828              LEFT           (262,130)      (250,130)      
8438      843928              RIGHT          (250,130)      (262,130)      
8439      844028              UP             (262,130)      (262,118)      
8440      844128              UP             (262,118)      (262,106)      
8441      844228              UP             (262,106)      (262,94)       
8442      844328              LEFT           (262,94)       (250,94)       
8443      844428              LEFT           (250,94)       (238,94)       
8444      844528              UP             (238,94)       (238,82)       
8445      844628              RIGHT          (238,82)       (250,82)       
8446      844728              RIGHT          (250,82)       (262,82)       
8447      844828              RIGHT          (262,82)       (274,82)       
8448      844928              LEFT           (274,82)       (262,82)       
8449      845028              DOWN           (262,82)       (262,94)       
8450      845128              UP             (262,94)       (262,82)       
8451      845228              UP             (262,82)       (262,70)       
8452      845328              UP             (262,70)       (262,58)       
8453      845428              DOWN           (262,58)       (262,70)       
8454      845528              LEFT           (262,70)       (250,70)       
8455      845628              RIGHT          (250,70)       (262,70)       
8456      845728              UP             (262,70)       (262,58)       
8457      845828              RIGHT          (262,58)       (274,58)       
8458      845928              RIGHT          (274,58)       (286,58)       
8459      846028              RIGHT          (286,58)       (298,58)       
8460      846128              UP             (298,58)       (298,46)       
8461      846228              RIGHT          (298,46)       (310,46)       
8462      846328              LEFT           (310,46)       (298,46)       
8463      846428              LEFT           (298,46)       (286,46)       
8464      846528              DOWN           (286,46)       (286,58)       
8465      846628              DOWN           (286,58)       (286,70)       
8466      846728              DOWN           (286,70)       (286,82)       
8467      846828              UP             (286,82)       (286,70)       
8468      846928              DOWN           (286,70)       (286,82)       
8469      847028              DOWN           (286,82)       (286,94)       
8470      847128              RIGHT          (286,94)       (298,94)       
8471      847228              LEFT           (298,94)       (286,94)       
8472      847328              LEFT           (286,94)       (274,94)       
8473      847428              UP             (274,94)       (274,82)       
8474      847528              RIGHT          (274,82)       (286,82)       
8475      847628              UP             (286,82)       (286,70)       
8476      847728              RIGHT          (286,70)       (298,70)       
8477      847828              UP             (298,70)       (298,58)       
8478      847928              DOWN           (298,58)       (298,70)       
8479      848028              LEFT           (298,70)       (286,70)       
8480      848128              RIGHT          (286,70)       (298,70)       
8481      848228              RIGHT          (298,70)       (310,70)       
8482      848328              DOWN           (310,70)       (310,82)       
8483      848428              UP             (310,82)       (310,70)       
8484      848528              LEFT           (310,70)       (298,70)       
8485      848628              LEFT           (298,70)       (286,70)       
8486      848728              RIGHT          (286,70)       (298,70)       
8487      848828              LEFT           (298,70)       (286,70)       
8488      848928              UP             (286,70)       (286,58)       
8489      849028              LEFT           (286,58)       (274,58)       
8490      849128              RIGHT          (274,58)       (286,58)       
8491      849228              RIGHT          (286,58)       (298,58)       
8492      849328              LEFT           (298,58)       (286,58)       
8493      849428              DOWN           (286,58)       (286,70)       
8494      849528              RIGHT          (286,70)       (298,70)       
8495      849628              RIGHT          (298,70)       (310,70)       
8496      849728              RIGHT          (310,70)       (322,70)       
8497      849828              UP             (322,70)       (322,58)       
8498      849928              RIGHT          (322,58)       (334,58)       
8499      850028              RIGHT          (334,58)       (346,58)       
8500      850128              DOWN           (346,58)       (346,70)       
8501      850228              DOWN           (346,70)       (346,82)       
8502      850328              RIGHT          (346,82)       (358,82)       
8503      850428              LEFT           (358,82)       (346,82)       
8504      850528              RIGHT          (346,82)       (358,82)       
8505      850628              DOWN           (358,82)       (358,94)       
8506      850728              DOWN           (358,94)       (358,106)      
8507      850828              RIGHT          (358,106)      (370,106)      
8508      850928              RIGHT          (370,106)      (382,106)      
8509      851028              LEFT           (382,106)      (370,106)      
8510      851128              RIGHT          (370,106)      (382,106)      
8511      851228              UP             (382,106)      (382,94)       
8512      851328              LEFT           (382,94)       (370,94)       
8513      851428              LEFT           (370,94)       (358,94)       
8514      851528              LEFT           (358,94)       (346,94)       
8515      851628              UP             (346,94)       (346,82)       
8516      851728              UP             (346,82)       (346,70)       
8517      851828              UP             (346,70)       (346,58)       
8518      851928              UP             (346,58)       (346,46)       
8519      852028              DOWN           (346,46)       (346,58)       
8520      852128              UP             (346,58)       (346,46)       
8521      852228              LEFT           (346,46)       (334,46)       
8522      852328              RIGHT          (334,46)       (346,46)       
8523      852428              DOWN           (346,46)       (346,58)       
8524      852528              UP             (346,58)       (346,46)       
8525      852628              DOWN           (346,46)       (346,58)       
8526      852728              UP             (346,58)       (346,46)       
8527      852828              LEFT           (346,46)       (334,46)       
8528      852928              LEFT           (334,46)       (322,46)       
8529      853028              UP             (322,46)       (322,34)       
8530      853128              RIGHT          (322,34)       (334,34)       
8531      853228              UP             (334,34)       (334,22)       
8532      853328              LEFT           (334,22)       (322,22)       
8533      853428              DOWN           (322,22)       (322,34)       
8534      853528              LEFT           (322,34)       (310,34)       
8535      853628              LEFT           (310,34)       (298,34)       
8536      853728              LEFT           (298,34)       (286,34)       
8537      853828              DOWN           (286,34)       (286,46)       
8538      853928              UP             (286,46)       (286,34)       
8539      854028              LEFT           (286,34)       (274,34)       
8540      854128              UP             (274,34)       (274,22)       
8541      854228              LEFT           (274,22)       (262,22)       
8542      854328              LEFT           (262,22)       (250,22)       
8543      854428              UP             (250,22)       (250,10)       
8544      854528              RIGHT          (250,22)       (262,22)       
8545      854628              RIGHT          (262,22)       (274,22)       
8546      854728              RIGHT          (274,22)       (286,22)       
8547      854828              UP             (286,22)       (286,10)       
8548      854928              DOWN           (286,22)       (286,34)       
8549      855028              UP             (286,34)       (286,22)       
8550      855128              UP             (286,22)       (286,10)       
8551      855228              DOWN           (286,22)       (286,34)       
8552      855328              LEFT           (286,34)       (274,34)       
8553      855428              DOWN           (274,34)       (274,46)       
8554      855528              DOWN           (274,46)       (274,58)       
8555      855628              RIGHT          (274,58)       (286,58)       
8556      855728              LEFT           (286,58)       (274,58)       
8557      855828              LEFT           (274,58)       (262,58)       
8558      855928              LEFT           (262,58)       (250,58)       
8559      856028              LEFT           (250,58)       (238,58)       
8560      856128              RIGHT          (238,58)       (250,58)       
8561      856228              LEFT           (250,58)       (238,58)       
8562      856328              DOWN           (238,58)       (238,70)       
8563      856428              RIGHT          (238,70)       (250,70)       
8564      856528              LEFT           (250,70)       (238,70)       
8565      856628              DOWN           (238,70)       (238,82)       
8566      856728              UP             (238,82)       (238,70)       
8567      856828              UP             (238,70)       (238,58)       
8568      856928              LEFT           (238,58)       (226,58)       
8569      857028              RIGHT          (226,58)       (238,58)       
8570      857128              RIGHT          (238,58)       (250,58)       
8571      857228              DOWN           (250,58)       (250,70)       
8572      857328              UP             (250,70)       (250,58)       
8573      857428              RIGHT          (250,58)       (262,58)       
8574      857528              UP             (262,58)       (262,46)       
8575      857628              UP             (262,46)       (262,34)       
8576      857728              UP             (262,34)       (262,22)       
8577      857828              LEFT           (262,22)       (250,22)       
8578      857928              RIGHT          (250,22)       (262,22)       
8579      858029              DOWN           (262,22)       (262,34)       
8580      858128              RIGHT          (262,34)       (274,34)       
8581      858228              DOWN           (274,34)       (274,46)       
8582      858328              DOWN           (274,46)       (274,58)       
8583      858428              RIGHT          (274,58)       (286,58)       
8584      858528              UP             (286,58)       (286,46)       
8585      858628              UP             (286,46)       (286,34)       
8586      858728              LEFT           (286,34)       (274,34)       
8587      858828              DOWN           (274,34)       (274,46)       
8588      858928              DOWN           (274,46)       (274,58)       
8589      859029              DOWN           (274,58)       (274,70)       
8590      859128              UP             (274,70)       (274,58)       
8591      859228              RIGHT          (274,58)       (286,58)       
8592      859328              DOWN           (286,58)       (286,70)       
8593      859428              DOWN           (286,70)       (286,82)       
8594      859528              LEFT           (286,82)       (274,82)       
8595      859628              DOWN           (274,82)       (274,94)       
8596      859728              LEFT           (274,94)       (262,94)       
8597      859828              UP             (262,94)       (262,82)       
8598      859928              UP             (262,82)       (262,70)       
8599      860029              UP             (262,70)       (262,58)       
8600      860128              LEFT           (262,58)       (250,58)       
8601      860228              UP             (250,58)       (250,46)       
8602      860328              DOWN           (250,46)       (250,58)       
8603      860428              UP             (250,58)       (250,46)       
8604      860528              DOWN           (250,46)       (250,58)       
8605      860628              UP             (250,58)       (250,46)       
8606      860728              LEFT           (250,46)       (238,46)       
8607      860828              RIGHT          (238,46)       (250,46)       
8608      860929              RIGHT          (250,46)       (262,46)       
8609      861029              UP             (262,46)       (262,34)       
8610      861129              UP             (262,34)       (262,22)       
8611      861229              RIGHT          (262,22)       (274,22)       
8612      861329              DOWN           (274,22)       (274,34)       
8613      861429              DOWN           (274,34)       (274,46)       
8614      861529              UP             (274,46)       (274,34)       
8615      861629              LEFT           (274,34)       (262,34)       
8616      861729              LEFT           (262,34)       (250,34)       
8617      861830              UP             (250,34)       (250,22)       
8618      861930              LEFT           (250,22)       (238,22)       
8619      862029              LEFT           (238,22)       (226,22)       
8620      862129              RIGHT          (226,22)       (238,22)       
8621      862229              UP             (238,22)       (238,10)       
8622      862329              UP             (238,22)       (238,10)       
8623      862429              DOWN           (238,22)       (238,34)       
8624      862529              RIGHT          (238,34)       (250,34)       
8625      862629              RIGHT          (250,34)       (262,34)       
8626      862729              UP             (262,34)       (262,22)       
8627      862830              LEFT           (262,22)       (250,22)       
8628      862930              DOWN           (250,22)       (250,34)       
8629      863030              LEFT           (250,34)       (238,34)       
8630      863130              UP             (238,34)       (238,22)       
8631      863229              DOWN           (238,22)       (238,34)       
8632      863329              RIGHT          (238,34)       (250,34)       
8633      863429              UP             (250,34)       (250,22)       
8634      863530              RIGHT          (250,22)       (262,22)       
8635      863630              LEFT           (262,22)       (250,22)       
8636      863730              LEFT           (250,22)       (238,22)       
8637      863830              UP             (238,22)       (238,10)       
8638      863930              LEFT           (238,22)       (226,22)       
8639      864030              UP             (226,22)       (226,10)       
8640      864130              DOWN           (226,22)       (226,34)       
8641      864230              RIGHT          (226,34)       (238,34)       
8642      864330              UP             (238,34)       (238,22)       
8643      864430              RIGHT          (238,22)       (250,22)       
8644      864530              UP             (250,22)       (250,10)       
8645      864630              RIGHT          (250,22)       (262,22)       
8646      864730              LEFT           (262,22)       (250,22)       
8647      864830              RIGHT          (250,22)       (262,22)       
8648      864930              LEFT           (262,22)       (250,22)       
8649      865030              LEFT           (250,22)       (238,22)       
8650      865130              RIGHT          (238,22)       (250,22)       
8651      865230              UP             (250,22)       (250,10)       
8652      865330              LEFT           (250,22)       (238,22)       
8653      865430              DOWN           (238,22)       (238,34)       
8654      865530              LEFT           (238,34)       (226,34)       
8655      865630              UP             (226,34)       (226,22)       
8656      865730              UP             (226,22)       (226,10)       
8657      865830              RIGHT          (226,22)       (238,22)       
8658      865930              UP             (238,22)       (238,10)       
8659      866030              UP             (238,22)       (238,10)       
8660      866130              RIGHT          (238,22)       (250,22)       
8661      866230              RIGHT          (250,22)       (262,22)       
8662      866330              UP             (262,22)       (262,10)       
8663      866430              RIGHT          (262,22)       (274,22)       
8664      866530              RIGHT          (274,22)       (286,22)       
8665      866630              LEFT           (286,22)       (274,22)       
8666      866730              LEFT           (274,22)       (262,22)       
8667      866830              UP             (262,22)       (262,10)       
8668      866930              DOWN           (262,22)       (262,34)       
8669      867030              RIGHT          (262,34)       (274,34)       
8670      867130              RIGHT          (274,34)       (286,34)       
8671      867230              UP             (286,34)       (286,22)       
8672      867330              DOWN           (286,22)       (286,34)       
8673      867430              RIGHT          (286,34)       (298,34)       
8674      867530              RIGHT          (298,34)       (310,34)       
8675      867630              DOWN           (310,34)       (310,46)       
8676      867730              RIGHT          (310,46)       (322,46)       
8677      867830              DOWN           (322,46)       (322,58)       
8678      867930              UP             (322,58)       (322,46)       
8679      868030              DOWN           (322,46)       (322,58)       
8680      868130              DOWN           (322,58)       (322,70)       
8681      868230              DOWN           (322,70)       (322,82)       
8682      868330              RIGHT          (322,82)       (334,82)       
8683      868430              LEFT           (334,82)       (322,82)       
8684      868530              RIGHT          (322,82)       (334,82)       
8685      868630              DOWN           (334,82)       (334,94)       
8686      868730              UP             (334,94)       (334,82)       
8687      868830              UP             (334,82)       (334,70)       
8688      868930              UP             (334,70)       (334,58)       
8689      869030              RIGHT          (334,58)       (346,58)       
8690      869130              LEFT           (346,58)       (334,58)       
8691      869230              RIGHT          (334,58)       (346,58)       
8692      869330              DOWN           (346,58)       (346,70)       
8693      869430              LEFT           (346,70)       (334,70)       
8694      869530              UP             (334,70)       (334,58)       
8695      869630              RIGHT          (334,58)       (346,58)       
8696      869730              LEFT           (346,58)       (334,58)       
8697      869830              UP             (334,58)       (334,46)       
8698      869930              LEFT           (334,46)       (322,46)       
8699      870030              LEFT           (322,46)       (310,46)       
8700      870130              RIGHT          (310,46)       (322,46)       
8701      870230              RIGHT          (322,46)       (334,46)       
8702      870330              DOWN           (334,46)       (334,58)       
8703      870430              RIGHT          (334,58)       (346,58)       
8704      870530              DOWN           (346,58)       (346,70)       
8705      870630              UP             (346,70)       (346,58)       
8706      870730              RIGHT          (346,58)       (358,58)       
8707      870830              DOWN           (358,58)       (358,70)       
8708      870930              RIGHT          (358,70)       (370,70)       
8709      871030              LEFT           (370,70)       (358,70)       
8710      871130              LEFT           (358,70)       (346,70)       
8711      871230              LEFT           (346,70)       (334,70)       
8712      871330              UP             (334,70)       (334,58)       
8713      871430              DOWN           (334,58)       (334,70)       
8714      871530              UP             (334,70)       (334,58)       
8715      871630              LEFT           (334,58)       (322,58)       
8716      871730              RIGHT          (322,58)       (334,58)       
8717      871830              RIGHT          (334,58)       (346,58)       
8718      871930              LEFT           (346,58)       (334,58)       
8719      872030              UP             (334,58)       (334,46)       
8720      872130              LEFT           (334,46)       (322,46)       
8721      872230              UP             (322,46)       (322,34)       
8722      872330              LEFT           (322,34)       (310,34)       
8723      872430              DOWN           (310,34)       (310,46)       
8724      872530              RIGHT          (310,46)       (322,46)       
8725      872630              RIGHT          (322,46)       (334,46)       
8726      872730              DOWN           (334,46)       (334,58)       
8727      872830              DOWN           (334,58)       (334,70)       
8728      872930              RIGHT          (334,70)       (346,70)       
8729      873030              DOWN           (346,70)       (346,82)       
8730      873130              UP             (346,82)       (346,70)       
8731      873230              LEFT           (346,70)       (334,70)       
8732      873330              LEFT           (334,70)       (322,70)       
8733      873430              UP             (322,70)       (322,58)       
8734      873530              RIGHT          (322,58)       (334,58)       
8735      873630              UP             (334,58)       (334,46)       
8736      873730              RIGHT          (334,46)       (346,46)       
8737      873830              UP             (346,46)       (346,34)       
8738      873930              UP             (346,34)       (346,22)       
8739      874030              LEFT           (346,22)       (334,22)       
8740      874130              UP             (334,22)       (334,10)       
8741      874230              RIGHT          (334,22)       (346,22)       
8742      874330              LEFT           (346,22)       (334,22)       
8743      874430              RIGHT          (334,22)       (346,22)       
8744      874530              UP             (346,22)       (346,10)       
8745      874630              RIGHT          (346,22)       (358,22)       
8746      874730              UP             (358,22)       (358,10)       
8747      874830              UP             (358,22)       (358,10)       
8748      874930              RIGHT          (358,22)       (370,22)       
8749      875030              LEFT           (370,22)       (358,22)       
8750      875130              DOWN           (358,22)       (358,34)       
8751      875230              DOWN           (358,34)       (358,46)       
8752      875330              UP             (358,46)       (358,34)       
8753      875430              UP             (358,34)       (358,22)       
8754      875530              LEFT           (358,22)       (346,22)       
8755      875630              UP             (346,22)       (346,10)       
8756      875730              DOWN           (346,22)       (346,34)       
8757      875830              LEFT           (346,34)       (334,34)       
8758      875930              UP             (334,34)       (334,22)       
8759      876030              DOWN           (334,22)       (334,34)       
8760      876130              LEFT           (334,34)       (322,34)       
8761      876230              LEFT           (322,34)       (310,34)       
8762      876330              LEFT           (310,34)       (298,34)       
8763      876430              DOWN           (298,34)       (298,46)       
8764      876530              LEFT           (298,46)       (286,46)       
8765      876630              RIGHT          (286,46)       (298,46)       
8766      876731              UP             (298,46)       (298,34)       
8767      876830              DOWN           (298,34)       (298,46)       
8768      876930              UP             (298,46)       (298,34)       
8769      877030              DOWN           (298,34)       (298,46)       
8770      877130              UP             (298,46)       (298,34)       
8771      877230              UP             (298,34)       (298,22)       
8772      877330              LEFT           (298,22)       (286,22)       
8773      877430              UP             (286,22)       (286,10)       
8774      877530              DOWN           (286,22)       (286,34)       
8775      877630              UP             (286,34)       (286,22)       
8776      877730              RIGHT          (286,22)       (298,22)       
8777      877830              DOWN           (298,22)       (298,34)       
8778      877930              DOWN           (298,34)       (298,46)       
8779      878030              LEFT           (298,46)       (286,46)       
8780      878130              LEFT           (286,46)       (274,46)       
8781      878230              LEFT           (274,46)       (262,46)       
8782      878330              LEFT           (262,46)       (250,46)       
8783      878430              LEFT           (250,46)       (238,46)       
8784      878530              DOWN           (238,46)       (238,58)       
8785      878630              RIGHT          (238,58)       (250,58)       
8786      878730              DOWN           (250,58)       (250,70)       
8787      878830              RIGHT          (250,70)       (262,70)       
8788      878930              LEFT           (262,70)       (250,70)       
8789      879030              LEFT           (250,70)       (238,70)       
8790      879130              LEFT           (238,70)       (226,70)       
8791      879230              DOWN           (226,70)       (226,82)       
8792      879330              DOWN           (226,82)       (226,94)       
8793      879430              DOWN           (226,94)       (226,106)      
8794      879530              UP             (226,106)      (226,94)       
8795      879630              RIGHT          (226,94)       (238,94)       
8796      879730              DOWN           (238,94)       (238,106)      
8797      879830              UP             (238,106)      (238,94)       
8798      879930              RIGHT          (238,94)       (250,94)       
8799      880030              DOWN           (250,94)       (250,106)      
8800      880130              RIGHT          (250,106)      (262,106)      
8801      880230              RIGHT          (262,106)      (274,106)      
8802      880330              UP             (274,106)      (274,94)       
8803      880430              UP             (274,94)       (274,82)       
8804      880530              LEFT           (274,82)       (262,82)       
8805      880630              UP             (262,82)       (262,70)       
8806      880730              UP             (262,70)       (262,58)       
8807      880830              DOWN           (262,58)       (262,70)       
8808      880930              RIGHT          (262,70)       (274,70)       
8809      881030              LEFT           (274,70)       (262,70)       
8810      881130              LEFT           (262,70)       (250,70)       
8811      881230              UP             (250,70)       (250,58)       
8812      881330              RIGHT          (250,58)       (262,58)       
8813      881430              LEFT           (262,58)       (250,58)       
8814      881530              DOWN           (250,58)       (250,70)       
8815      881630              UP             (250,70)       (250,58)       
8816      881731              DOWN           (250,58)       (250,70)       
8817      881830              RIGHT          (250,70)       (262,70)       
8818      881930              DOWN           (262,70)       (262,82)       
8819      882030              LEFT           (262,82)       (250,82)       
8820      882130              RIGHT          (250,82)       (262,82)       
8821      882230              DOWN           (262,82)       (262,94)       
8822      882330              LEFT           (262,94)       (250,94)       
8823      882430              LEFT           (250,94)       (238,94)       
8824      882530              DOWN           (238,94)       (238,106)      
8825      882631              DOWN           (238,106)      (238,118)      
8826      882730              UP             (238,118)      (238,106)      
8827      882830              DOWN           (238,106)      (238,118)      
8828      882930              RIGHT          (238,118)      (250,118)      
8829      883030              RIGHT          (250,118)      (262,118)      
8830      883130              LEFT           (262,118)      (250,118)      
8831      883230              DOWN           (250,118)      (250,130)      
8832      883330              RIGHT          (250,130)      (262,130)      
8833      883430              RIGHT          (262,130)      (274,130)      
8834      883530              LEFT           (274,130)      (262,130)      
8835      883631              DOWN           (262,130)      (262,142)      
8836      883730              DOWN           (262,142)      (262,154)      
8837      883830              RIGHT          (262,154)      (274,154)      
8838      883930              RIGHT          (274,154)      (286,154)      
8839      884030              DOWN           (286,154)      (286,166)      
8840      884130              DOWN           (286,166)      (286,178)      
8841      884230              RIGHT          (286,178)      (298,178)      
8842      884330              DOWN           (298,178)      (298,190)      
8843      884430              LEFT           (298,190)      (286,190)      
8844      884530              RIGHT          (286,190)      (298,190)      
8845      884631              LEFT           (298,190)      (286,190)      
8846      884730              UP             (286,190)      (286,178)      
8847      884830              LEFT           (286,178)      (274,178)      
8848      884930              LEFT           (274,178)      (262,178)      
8849      885030              RIGHT          (262,178)      (274,178)      
8850      885130              RIGHT          (274,178)      (286,178)      
8851      885230              RIGHT          (286,178)      (298,178)      
8852      885330              RIGHT          (298,178)      (310,178)      
8853      885430              LEFT           (310,178)      (298,178)      
8854      885531              UP             (298,178)      (298,166)      
8855      885630              DOWN           (298,166)      (298,178)      
8856      885730              LEFT           (298,178)      (286,178)      
8857      885830              RIGHT          (286,178)      (298,178)      
8858      885930              UP             (298,178)      (298,166)      
8859      886030              DOWN           (298,166)      (298,178)      
8860      886130              UP             (298,178)      (298,166)      
8861      886230              RIGHT          (298,166)      (310,166)      
8862      886330              RIGHT          (310,166)      (322,166)      
8863      886430              UP             (322,166)      (322,154)      
8864      886531              DOWN           (322,154)      (322,166)      
8865      886631              DOWN           (322,166)      (322,178)      
8866      886730              UP             (322,178)      (322,166)      
8867      886830              LEFT           (322,166)      (310,166)      
8868      886931              DOWN           (310,166)      (310,178)      
8869      887030              RIGHT          (310,178)      (322,178)      
8870      887130              DOWN           (322,178)      (322,190)      
8871      887230              DOWN           (322,190)      (322,202)      
8872      887330              DOWN           (322,202)      (322,214)      
8873      887431              UP             (322,214)      (322,202)      
8874      887531              DOWN           (322,202)      (322,214)      
8875      887631              LEFT           (322,214)      (310,214)      
8876      887731              RIGHT          (310,214)      (322,214)      
8877      887831              DOWN           (322,214)      (322,226)      
8878      887931              LEFT           (322,226)      (310,226)      
8879      888030              DOWN           (310,226)      (310,238)      
8880      888130              LEFT           (310,238)      (298,238)      
8881      888231              UP             (298,238)      (298,226)      
8882      888331              RIGHT          (298,226)      (310,226)      
8883      888431              DOWN           (310,226)      (310,238)      
8884      888531              UP             (310,238)      (310,226)      
8885      888631              LEFT           (310,226)      (298,226)      
8886      888731              UP             (298,226)      (298,214)      
8887      888831              RIGHT          (298,214)      (310,214)      
8888      888931              RIGHT          (310,214)      (322,214)      
8889      889031              UP             (322,214)      (322,202)      
8890      889131              LEFT           (322,202)      (310,202)      
8891      889231              LEFT           (310,202)      (298,202)      
8892      889331              RIGHT          (298,202)      (310,202)      
8893      889431              LEFT           (310,202)      (298,202)      
8894      889531              UP             (298,202)      (298,190)      
8895      889631              RIGHT          (298,190)      (310,190)      
8896      889731              LEFT           (310,190)      (298,190)      
8897      889831              RIGHT          (298,190)      (310,190)      
8898      889931              RIGHT          (310,190)      (322,190)      
8899      890031              DOWN           (322,190)      (322,202)      
8900      890131              DOWN           (322,202)      (322,214)      
8901      890231              RIGHT          (322,214)      (334,214)      
8902      890331              LEFT           (334,214)      (322,214)      
8903      890431              DOWN           (322,214)      (322,226)      
8904      890531              RIGHT          (322,226)      (334,226)      
8905      890631              RIGHT          (334,226)      (346,226)      
8906      890731              LEFT           (346,226)      (334,226)      
8907      890831              LEFT           (334,226)      (322,226)      
8908      890931              RIGHT          (322,226)      (334,226)      
8909      891031              LEFT           (334,226)      (322,226)      
8910      891131              LEFT           (322,226)      (310,226)      
8911      891231              DOWN           (310,226)      (310,238)      
8912      891331              UP             (310,238)      (310,226)      
8913      891431              DOWN           (310,226)      (310,238)      
8914      891531              LEFT           (310,238)      (298,238)      
8915      891631              RIGHT          (298,238)      (310,238)      
8916      891731              LEFT           (310,238)      (298,238)      
8917      891913              RIGHT          (298,238)      (310,238)      
8918      892013              RIGHT          (310,238)      (322,238)      
8919      892113              UP             (322,238)      (322,226)      
8920      892213              DOWN           (322,226)      (322,238)      
8921      892313              LEFT           (322,238)      (310,238)      
8922      892413              RIGHT          (310,238)      (322,238)      
8923      892513              LEFT           (322,238)      (310,238)      
8924      892613              LEFT           (310,238)      (298,238)      
8925      892713              LEFT           (298,238)      (286,238)      
8926      892813              RIGHT          (286,238)      (298,238)      
8927      892913              DOWN           (298,238)      (298,250)      
8928      893013              UP             (298,250)      (298,238)      
8929      893113              RIGHT          (298,238)      (310,238)      
8930      893213              LEFT           (310,238)      (298,238)      
8931      893313              LEFT           (298,238)      (286,238)      
8932      893413              LEFT           (286,238)      (274,238)      
8933      893513              UP             (274,238)      (274,226)      
8934      893613              RIGHT          (274,226)      (286,226)      
8935      893713              DOWN           (286,226)      (286,238)      
8936      893813              RIGHT          (286,238)      (298,238)      
8937      893913              RIGHT          (298,238)      (310,238)      
8938      894013              RIGHT          (310,238)      (322,238)      
8939      894113              DOWN           (322,238)      (322,250)      
8940      894213              LEFT           (322,250)      (310,250)      
8941      894313              DOWN           (310,250)      (310,262)      
8942      894413              UP             (310,262)      (310,250)      
8943      894513              UP             (310,250)      (310,238)      
8944      894613              UP             (310,238)      (310,226)      
8945      894713              LEFT           (310,226)      (298,226)      
8946      894813              LEFT           (298,226)      (286,226)      
8947      894913              LEFT           (286,226)      (274,226)      
8948      895013              UP             (274,226)      (274,214)      
